# depth (m),temp,temp_corrected
117.0432,21.0345,20.915263
117.1956,21.0373,20.917911
117.348,21.0397,20.920159
117.5004,21.0423,20.922607
117.6528,21.0446,20.924756
117.8052,21.046,20.926004
117.9576,21.047,20.926852
118.11,21.0479,20.927601
118.2624,21.0485,20.928049
118.4148,21.0484,20.927797
118.5672,21.0479,20.927146
118.7196,21.0479,20.926994
118.872,21.0483,20.927242
119.0244,21.0485,20.927291
119.1768,21.0476,20.926239
119.3292,21.0463,20.924788
119.4816,21.0462,20.924536
119.634,21.047,20.925185
119.7864,21.0469,20.924933
119.9388,21.0454,20.923281
120.0912,21.0441,20.92183
120.2436,21.0434,20.920978
120.396,21.0434,20.920827
120.5484,21.0441,20.921376
120.7008,21.0466,20.923724
120.8532,21.0506,20.927573
121.0056,21.0541,20.930921
121.158,21.0562,20.93287
121.3104,21.0563,20.932818
121.4628,21.0549,20.931267
121.6152,21.0526,20.928816
121.7676,21.0505,20.926564
121.92,21.0484,20.924313
122.0724,21.047,20.922762
122.2248,21.0461,20.92171
122.3772,21.0465,20.921959
122.5296,21.0466,20.921908
122.682,21.0466,20.921757
122.8344,21.0465,20.921505
122.9868,21.0459,20.920754
123.1392,21.045,20.919703
123.2916,21.0431,20.917652
123.444,21.0426,20.917
123.5964,21.0435,20.917749
123.7488,21.045,20.919098
123.9012,21.0468,20.920747
124.0536,21.049,20.922796
124.206,21.0513,20.924945
124.3584,21.0518,20.925294
124.5108,21.0515,20.924842
124.6632,21.0503,20.923491
124.8156,21.0506,20.92364
124.968,21.0505,20.923389
125.1204,21.0504,20.923138
125.2728,21.0499,20.922487
125.4252,21.0512,20.923636
125.5776,21.054,20.926285
125.73,21.0573,20.929434
125.8824,21.0604,20.932383
126.0348,21.0644,20.936232
126.1872,21.0692,20.940881
126.3396,21.0739,20.94543
126.492,21.079,20.950379
126.6444,21.0854,20.956629
126.7968,21.0922,20.963278
126.9492,21.0997,20.970627
127.1016,21.1069,20.977676
127.254,21.1139,20.984525
127.4064,21.119,20.989474
127.5588,21.1226,20.992924
127.7112,21.1243,20.994473
127.8636,21.1238,20.993822
128.016,21.1214,20.991271
128.1684,21.1184,20.98812
128.3208,21.1156,20.98517
128.4732,21.1128,20.982219
128.6256,21.1102,20.979468
128.778,21.1071,20.976218
128.9304,21.1038,20.972767
129.0828,21.0995,20.968316
129.2352,21.0955,20.964166
129.3876,21.093,20.961515
129.54,21.0905,20.958864
129.6924,21.0884,20.956614
129.8448,21.0849,20.952963
129.9972,21.0814,20.949313
130.1496,21.0774,20.945162
130.302,21.074,20.941612
130.4544,21.072,20.939461
130.6068,21.0695,20.936811
130.7592,21.0674,20.93456
130.9116,21.0643,20.93131
131.064,21.062,20.928859
131.2164,21.0601,20.926809
131.3688,21.059,20.925558
131.5212,21.0586,20.925008
131.6736,21.0605,20.926757
131.826,21.0657,20.931807
131.9784,21.0745,20.940457
132.1308,21.0854,20.951206
132.2832,21.0973,20.962956
132.4356,21.1094,20.974906
132.588,21.1222,20.987555
132.7404,21.1355,21.000705
132.8928,21.1493,21.014355
133.0452,21.1613,21.026204
133.1976,21.1712,21.035954
133.35,21.1781,21.042704
133.5024,21.1832,21.047654
133.6548,21.1869,21.051204
133.8072,21.1887,21.052853
133.9596,21.1898,21.053803
134.112,21.1914,21.055253
134.2644,21.1928,21.056503
134.4168,21.1945,21.058053
134.5692,21.1967,21.060103
134.7216,21.1995,21.062753
134.874,21.2037,21.066802
135.0264,21.2076,21.070552
135.1788,21.2119,21.074702
135.3312,21.2181,21.080752
135.4836,21.226,21.088502
135.636,21.2355,21.097852
135.7884,21.2433,21.105502
135.9408,21.25,21.112052
136.0932,21.2545,21.116402
136.2456,21.2571,21.118852
136.398,21.2569,21.118502
136.5504,21.2555,21.116953
136.7028,21.2534,21.114703
136.8552,21.2511,21.112253
137.0076,21.2493,21.110303
137.16,21.2477,21.108553
137.3124,21.2454,21.106103
137.4648,21.243,21.103553
137.6172,21.241,21.101404
137.7696,21.2382,21.098454
137.922,21.2356,21.095704
138.0744,21.2325,21.092454
138.2268,21.2295,21.089305
138.3792,21.2264,21.086055
138.5316,21.2226,21.082105
138.684,21.2205,21.079855
138.8364,21.2177,21.076906
138.9888,21.216,21.075056
139.1412,21.2139,21.072806
139.2936,21.2126,21.071357
139.446,21.2117,21.070307
139.5984,21.212,21.070458
139.7508,21.2129,21.071208
139.9032,21.2148,21.072959
140.0556,21.2162,21.074209
140.208,21.2175,21.075359
140.3604,21.2188,21.07651
140.5128,21.2207,21.07826
140.6652,21.2244,21.081811
140.8176,21.2305,21.087761
140.97,21.24,21.097112
141.1224,21.2525,21.109463
141.2748,21.2663,21.123113
141.4272,21.2781,21.134764
141.5796,21.2898,21.146314
141.732,21.3019,21.158265
141.8844,21.3135,21.169716
142.0368,21.326,21.182066
142.1892,21.3391,21.195017
142.3416,21.3541,21.209868
142.494,21.3692,21.224818
142.6464,21.3854,21.240869
142.7988,21.4013,21.25662
142.9512,21.4158,21.270971
143.1036,21.4289,21.283921
143.256,21.4416,21.296472
143.4084,21.4551,21.309823
143.5608,21.4691,21.323674
143.7132,21.4827,21.337125
143.8656,21.4953,21.349576
144.018,21.5046,21.358726
144.1704,21.5113,21.365277
