,ID,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std
119665,40144362.0,148.201689229,-19.978050732,625727.5034439324,7790497.081030542,55.0,4.69236459649591,28.95,2.2437551020408164,0.6025481445956014
119666,40144411.0,148.21983556700002,-19.982014580999998,627623.1034070841,7790044.654590452,55.0,4.943412432390443,27.3,4.16089005235602,0.6280041880137621
119667,40145397.0,148.999347395,-21.2713329424,707443.1881165825,7646509.293201763,55.0,34.48241889399436,20.42,10.504149659863948,0.8560070598105266
119668,40145401.0,148.998173675,-21.3171889421,707257.0388049858,7641433.36158741,55.0,46.468164194805276,23.77,3.113166666666667,0.7199178000917111
119669,40145405.0,149.01858626,-21.286768,709418.074066125,7644774.800399798,55.0,27.801213348228607,30.78,13.188924050632913,1.4327178675170416
119670,40145627.0,149.168772243,-21.296964785,724988.9072663244,7643438.794761572,55.0,6.5968547330596055,26.2,4.731392405063291,0.2176266351974873
119671,40145886.0,149.139201471,-21.221986189000003,722032.617130731,7651783.350579099,55.0,7.358535386060085,16.1,5.4833333333333325,0.31069813860616113
119672,40145903.0,149.15166040100002,-21.256227999,723274.6004557692,7647974.0815938,55.0,9.731638171055877,19.6,7.3039999999999985,0.4599391264069624
119673,40146022.0,150.77013530000002,-23.057077399999997,886401.2046304937,7445177.896777293,56.0,5.8372750401395,46.0,6.795592417061611,0.4863784385999406
119674,40146369.0,147.63295601,-23.45608769,564647.2219245752,7405847.860377649,55.0,258.26696560424296,14.02,10.27590909090909,0.8031226504933957
119675,40146371.0,147.63235793200002,-23.457583001,564585.4079546022,7405682.581828654,55.0,257.3142824222802,17.7,11.417747747747748,0.8303800114380333
119676,40146408.0,148.08567630000002,-23.5361884,610821.9997842764,7396703.001362987,55.0,200.6039056412307,8.69,4.48,0.7134023108617304
119677,40146444.0,148.0790946,-23.476209100000002,610199.9998318831,7403348.998189744,55.0,191.49583848877003,10.0,2.469411764705882,1.2743370622001409
119678,40146630.0,150.570314012,-24.492682243,861899.349096945,7286546.223302555,56.0,195.81304432000667,18.6,16.020649350649354,0.910484868203119
119679,40146653.0,150.578876418,-24.415085439000002,862990.7445344917,7295126.382877707,56.0,196.09567743518448,14.6,6.157763157894737,1.4463557641664089
119680,40146679.0,150.497154056,-24.381265284,854789.7235110436,7299087.581502134,56.0,168.22478878929257,20.1,10.779651741293533,2.0295722604302395
119681,40146709.0,150.425055095,-24.312262373000003,847658.0991751135,7306919.359951831,56.0,152.97026141434392,21.4,11.669664804469273,1.6436401553471656
119682,40146765.0,150.28004815399999,-24.018767404000002,833691.5347373029,7339804.961377431,56.0,113.69875740751905,16.8,5.915034482758621,1.4788295111164338
119683,40146773.0,150.699277516,-24.532273167,874865.5799624411,7281812.042385486,56.0,259.7793245814974,20.4,13.300184049079757,2.109713867841501
119684,40146842.0,150.268964589,-23.854079574,832986.1293978742,7358084.377363401,56.0,126.8060275462123,17.98,15.078709295441088,0.7517340468044283
119685,40146928.0,150.090973468,-24.89894846,812262.3066945418,7242692.958229379,56.0,145.14525675242197,22.56,8.241569506726456,1.5939664133171583
119686,40147453.0,148.75466998,-21.78257112,681414.0003492805,7590207.999964681,55.0,176.65186319999938,38.1,18.6559375,0.5173904435663167
119687,40147550.0,148.94695544200002,-22.298012029000002,700571.4627407015,7532893.349139009,55.0,130.7737606793703,27.73,10.177192982456145,0.7927229430968664
119688,40147555.0,149.07765306,-22.39017875,713898.9996898973,7522506.9999113735,55.0,135.38234533643998,16.45,13.122658227848106,0.8416209629144896
119689,40147560.0,148.973488416,-22.41422543,703136.9375061921,7519988.6256351825,55.0,127.21397112114063,28.04,9.566987951807231,1.2057679999628284
119690,40147840.0,152.24612436700002,-24.817564828400002,1030647.3076102092,7245036.894692687,56.0,32.97260414471331,23.47,9.363100775193796,3.0443479544691563
119691,40148189.0,152.17989279399998,-24.907483158,1023555.4732467406,7235311.055702714,56.0,50.921419303203564,19.0,1.363935483870968,0.596496758528027
119692,40148465.0,151.10912717600002,-24.856194854,915363.9657611067,7244707.454544303,56.0,233.14559979053539,16.0,6.863623188405797,1.7807830642111182
119693,40148535.0,151.1360727,-25.141194746,917124.7397838135,7213013.953212631,56.0,203.27987108653286,17.07,7.629019607843138,0.7158547746848253
119694,40148626.0,151.031019628,-24.72954022,907875.1368687919,7258990.435324388,56.0,271.64713129937917,22.5,10.621417910447759,1.1342044045589874
119695,40022011.0,148.197968967,-20.052501618,625279.2466256893,7782259.728382283,55.0,17.4517879294446,13.72,-4.27,0.0
119696,40022703.0,148.183866107,-20.001777415,623843.9898736508,7787884.323419115,55.0,6.554445279998246,19.51,5.8,0.0
119698,40025515.0,150.531929231,-24.426606436999997,858192.4661383241,7293971.567153752,56.0,182.92074921587206,13.3,37.4,0.3999999999999986
119700,40026853.0,151.104127299,-24.823972699000002,914965.7250347667,7248296.529126439,56.0,239.66113423052062,24.84,12.2,0.0
119701,40031423.0,146.61936601,-19.231681555999998,459993.85255907464,7873493.401694424,55.0,17.955731040003872,18.3,3.4625000000000004,5.698176791746638
