Well name,Longitude,Latitude,Depth,Basin,dTdz,sigma_dTdz,dTcdz,sigma_dTcdz
Badgerys Creek 1,150.269193226,-34.606834902,157.0,Sydney,0.004462696502153206,0.03785984970093623,0.0034585804382377926,0.03787483886913244
Waverley Park Bore 1,150.6834228,-34.1360265,869.2,Sydney,0.0013876287285148978,0.010269423314155908,0.0003777962397252799,0.010278968827682932
Brindley Park 3,150.357096424,-32.117968716,115.65,Sydney  ,0.04123661530210157,0.021804369418867202,0.04022362446932055,0.021801512161927557
Garah 1,149.7275,-29.037778,1600.8,Gunnedah/Bowen,0.0,0.0,0.0,0.0
Higher Macdonald 1,150.933936,-33.213704,627.88,Sydney,0.0,0.0,0.0,0.0
Erina Oval,151.38619263,-33.43987279,159.91,Sydney,0.010946121712814201,0.00979730966525408,0.009944450375090515,0.009817410397497613
Werrina 1,149.347222,-28.723889,1388.0,Gunnedah/Bowen,0.0,0.0,0.0,0.0
Kemmis Creek 1,148.37856784,-21.55679421,1032.4,Bowen,0.015833333333333335,0.008595864638818425,0.01551220944444444,0.008913406446640557
Hunter Llanillo 1,150.836535525,-32.436025005,765.85,Sydney,0.0,0.0,0.0,0.0
Wornora 1,150.91566588,-34.196300999,2312.51,Sydney,0.01484403145938142,0.006263446739474118,0.015038215580359634,0.00631695489836993
Wotonga 1,148.187516833,-21.970048361,1079.68,Bowen,0.03071905007343531,0.005556985590792598,0.02980618161575289,0.005612500557402138
DM Warkworth DDH17,151.0665,-32.6132,282.0,Sydney,0.03924166666666663,0.009837922657869478,0.03830507366666668,0.009897219490229935
Turfco Test Bore 2,150.667197541,-34.79484652,197.36,Sydney  ,0.02831505020457534,0.009409603130493795,0.02732075918406865,0.009429689637382598
