# eastings,northings,RL
578340.345,6013377.102,418.581
583377.492,6013377.102,229.409
588414.639,6013377.102,319.939
593451.786,6013377.102,342.462
598488.932,6013377.102,263.734
603526.079,6013377.102,741.716
608563.226,6013377.102,724.130
613600.373,6013377.102,1555.503
618637.520,6013377.102,1296.088
623674.667,6013377.102,1561.466
628711.814,6013377.102,1475.010
633748.961,6013377.102,1457.255
638786.108,6013377.102,1518.040
643823.255,6013377.102,1417.506
648860.402,6013377.102,1158.995
653897.549,6013377.102,1220.928
658934.696,6013377.102,1082.809
663971.843,6013377.102,1034.806
669008.990,6013377.102,1161.240
674046.137,6013377.102,989.744
679083.284,6013377.102,1079.789
684120.431,6013377.102,1235.830
689157.578,6013377.102,866.926
694194.725,6013377.102,751.553
699231.871,6013377.102,753.460
704269.018,6013377.102,880.700
709306.165,6013377.102,868.069
714343.312,6013377.102,1041.678
719380.459,6013377.102,1060.640
724417.606,6013377.102,1237.197
729454.753,6013377.102,1201.045
734491.900,6013377.102,1075.569
739529.047,6013377.102,986.441
744566.194,6013377.102,686.119
749603.341,6013377.102,504.882
754640.488,6013377.102,752.698
759677.635,6013377.102,791.520
764714.782,6013377.102,382.364
769751.929,6013377.102,130.472
774789.076,6013377.102,117.424
779826.223,6013377.102,31.660
784863.370,6013377.102,-6.951
789900.517,6013377.102,-58.300
794937.663,6013377.102,-112.975
799974.810,6013377.102,-108.010
805011.957,6013377.102,-120.412
810049.104,6013377.102,-134.210
815086.251,6013377.102,-268.902
820123.398,6013377.102,-898.861
825160.545,6013377.102,-1511.131
830197.692,6013377.102,-1869.712
835234.839,6013377.102,-2491.502
840271.986,6013377.102,-3430.732
845309.133,6013377.102,-3981.129
850346.280,6013377.102,-2918.530
855383.427,6013377.102,-3828.014
860420.574,6013377.102,-4843.967
865457.721,6013377.102,-4919.047
870494.868,6013377.102,-4873.737
875532.015,6013377.102,-4853.503
880569.162,6013377.102,-4842.686
885606.309,6013377.102,-4843.519
890643.456,6013377.102,-4826.254
895680.602,6013377.102,-4758.170
900717.749,6013377.102,-4730.847
905754.896,6013377.102,-4766.460
910792.043,6013377.102,-4856.070
915829.190,6013377.102,-4849.544
920866.337,6013377.102,-4862.360
925903.484,6013377.102,-4853.511
930940.631,6013377.102,-4797.582
935977.778,6013377.102,-4804.367
941014.925,6013377.102,-4853.155
946052.072,6013377.102,-4861.183
951089.219,6013377.102,-4874.040
956126.366,6013377.102,-4855.782
961163.513,6013377.102,-4772.285
966200.660,6013377.102,-4633.477
971237.807,6013377.102,-4582.481
976274.954,6013377.102,-4610.537
981312.101,6013377.102,-4670.224
986349.248,6013377.102,-4755.314
991386.394,6013377.102,-4843.389
996423.541,6013377.102,-4854.510
1001460.688,6013377.102,-4782.287
1006497.835,6013377.102,-4801.972
1011534.982,6013377.102,-4834.000
1016572.129,6013377.102,-4843.792
1021609.276,6013377.102,-4896.191
1026646.423,6013377.102,-4928.347
1031683.570,6013377.102,-4903.042
1036720.717,6013377.102,-4863.262
1041757.864,6013377.102,-4797.598
1046795.011,6013377.102,-4777.139
1051832.158,6013377.102,-4786.442
1056869.305,6013377.102,-4796.263
1061906.452,6013377.102,-4808.034
1066943.599,6013377.102,-4784.725
1071980.746,6013377.102,-4724.633
1077017.893,6013377.102,-4699.992
1082055.040,6013377.102,-4710.972
1087092.187,6013377.102,-4658.418
1092129.333,6013377.102,-4633.347
1097166.480,6013377.102,-4702.119
1102203.627,6013377.102,-4744.536
1107240.774,6013377.102,-4763.327
1112277.921,6013377.102,-4815.957
1117315.068,6013377.102,-4841.112
1122352.215,6013377.102,-4870.790
1127389.362,6013377.102,-4858.043
1132426.509,6013377.102,-4835.905
1137463.656,6013377.102,-4753.678
1142500.803,6013377.102,-4739.649
1147537.950,6013377.102,-4775.590
1152575.097,6013377.102,-4719.498
1157612.244,6013377.102,-4495.773
1162649.391,6013377.102,-4425.074
1167686.538,6013377.102,-4402.308
1172723.685,6013377.102,-4997.627
1177760.832,6013377.102,-4851.244
1182797.979,6013377.102,-4721.164
1187835.126,6013377.102,-4700.166
1192872.272,6013377.102,-4687.177
1197909.419,6013377.102,-4825.415
1202946.566,6013377.102,-4620.967
1207983.713,6013377.102,-4815.176
1213020.860,6013377.102,-5194.076
1218058.007,6013377.102,-4947.047
1223095.154,6013377.102,-4859.807
1228132.301,6013377.102,-5083.756
1233169.448,6013377.102,-4634.369
1238206.595,6013377.102,-4024.485
447374.524,6018392.515,142.046
452411.671,6018392.515,139.985
457448.818,6018392.515,141.166
462485.965,6018392.515,148.251
467523.112,6018392.515,149.902
472560.259,6018392.515,152.055
477597.406,6018392.515,262.485
482634.553,6018392.515,250.092
487671.700,6018392.515,264.112
492708.847,6018392.515,265.875
497745.993,6018392.515,305.115
502783.140,6018392.515,221.581
507820.287,6018392.515,192.367
512857.434,6018392.515,242.076
517894.581,6018392.515,258.911
522931.728,6018392.515,296.777
527968.875,6018392.515,682.299
533006.022,6018392.515,204.479
538043.169,6018392.515,321.006
543080.316,6018392.515,542.251
548117.463,6018392.515,217.117
553154.610,6018392.515,237.226
558191.757,6018392.515,464.010
563228.904,6018392.515,438.651
568266.051,6018392.515,324.944
573303.198,6018392.515,260.483
578340.345,6018392.515,267.051
583377.492,6018392.515,521.026
588414.639,6018392.515,532.825
593451.786,6018392.515,380.559
598488.932,6018392.515,332.300
603526.079,6018392.515,691.387
608563.226,6018392.515,574.484
613600.373,6018392.515,560.624
618637.520,6018392.515,1483.751
623674.667,6018392.515,1174.455
628711.814,6018392.515,1216.129
633748.961,6018392.515,1593.275
638786.108,6018392.515,1587.287
643823.255,6018392.515,1250.106
648860.402,6018392.515,1234.520
653897.549,6018392.515,1139.862
658934.696,6018392.515,1113.605
663971.843,6018392.515,1085.305
669008.990,6018392.515,1081.948
674046.137,6018392.515,1094.862
679083.284,6018392.515,1036.221
684120.431,6018392.515,1380.273
689157.578,6018392.515,866.149
694194.725,6018392.515,714.594
699231.871,6018392.515,793.457
704269.018,6018392.515,879.412
709306.165,6018392.515,985.379
714343.312,6018392.515,1019.725
719380.459,6018392.515,1128.734
724417.606,6018392.515,1267.684
729454.753,6018392.515,1127.014
734491.900,6018392.515,897.791
